units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
48,3,tanh,adam,0.001,0.30000000000000004,0.0001,1675,COMPLETED,0.8838357329368591,0.713004469871521,0.5299999713897705,0.8977556228637695,0.2799384593963623
112,1,tanh,rmsprop,0.003,0.0,1e-05,1906,COMPLETED,0.8838347792625427,0.7290640473365784,0.4933333396911621,0.8967580795288086,0.2761760950088501
32,3,tanh,rmsprop,0.001,0.0,0.001,1905,COMPLETED,0.8838289380073547,0.7169811129570007,0.5066666603088379,0.8962593674659729,0.2950953543186188
192,1,relu,adam,0.001,0.1,0.0001,1873,COMPLETED,0.8838152885437012,0.7336448431015015,0.5233333110809326,0.9002493619918823,0.2897549569606781
224,2,relu,adam,0.0003,0.4,0.0,0672,COMPLETED,0.8837918043136597,0.7316017150878906,0.5633333325386047,0.903740644454956,0.2728666067123413
224,2,elu,adam,0.0003,0.30000000000000004,1e-06,1431,COMPLETED,0.8837860226631165,0.7123894095420837,0.5366666913032532,0.8982543349266052,0.2723938524723053
16,4,elu,adam,0.0003,0.1,0.0001,0132,COMPLETED,0.8837751746177673,0.7083333134651184,0.5666666626930237,0.9002493619918823,0.2767861485481262
128,4,elu,adam,0.0003,0.30000000000000004,0.0001,1838,COMPLETED,0.8837263584136963,0.7203390002250671,0.5666666626930237,0.9022443890571594,0.30430418252944946
128,1,elu,adam,0.001,0.4,1e-05,0021,COMPLETED,0.8837223052978516,0.739534854888916,0.5299999713897705,0.901745617389679,0.2800257205963135
64,2,elu,adam,0.0003,0.30000000000000004,1e-05,0701,COMPLETED,0.8836676478385925,0.7168141603469849,0.5400000214576721,0.8992518782615662,0.27405980229377747
208,2,relu,adam,0.0003,0.1,0.001,1250,COMPLETED,0.8836422562599182,0.721238911151886,0.5433333516120911,0.9002493619918823,0.3816141188144684
128,3,tanh,rmsprop,0.001,0.4,0.0,1481,COMPLETED,0.8836333751678467,0.7095237970352173,0.49666666984558105,0.8942643404006958,0.2699134051799774
240,2,relu,adam,0.0003,0.2,1e-06,0004,COMPLETED,0.8836236000061035,0.7251184582710266,0.5099999904632568,0.8977556228637695,0.2782784104347229
240,1,tanh,rmsprop,0.001,0.0,0.001,0731,COMPLETED,0.8836100101470947,0.7129629850387573,0.5133333206176758,0.8962593674659729,0.2954864203929901
48,1,relu,adam,0.0003,0.30000000000000004,0.0001,0721,COMPLETED,0.8836089968681335,0.7345132827758789,0.5533333420753479,0.9032418727874756,0.2837390601634979
208,3,relu,adam,0.0003,0.30000000000000004,0.0,0046,COMPLETED,0.8836041688919067,0.7029288411140442,0.5600000023841858,0.8987531065940857,0.2751672565937042
16,1,relu,adam,0.001,0.0,0.001,1842,COMPLETED,0.8835963010787964,0.7285714149475098,0.5099999904632568,0.8982543349266052,0.2838347852230072
192,2,tanh,adam,0.001,0.2,0.0001,1833,COMPLETED,0.8835835456848145,0.7190476059913635,0.503333330154419,0.8962593674659729,0.295199453830719
192,1,relu,adam,0.0003,0.2,0.0,1324,COMPLETED,0.8835688829421997,0.7397260069847107,0.5400000214576721,0.9027431607246399,0.2813468873500824
144,2,relu,adam,0.0003,0.30000000000000004,1e-06,1374,COMPLETED,0.8835669755935669,0.7227272987365723,0.5299999713897705,0.8992518782615662,0.27900251746177673
64,3,tanh,adam,0.003,0.30000000000000004,0.0,0489,COMPLETED,0.8835659623146057,0.7213114500045776,0.4399999976158142,0.8907730579376221,0.2712031304836273
256,1,elu,adam,0.001,0.4,1e-06,1359,COMPLETED,0.8835551738739014,0.7333333492279053,0.5133333206176758,0.8992518782615662,0.279880166053772
128,2,relu,adam,0.001,0.2,1e-06,1689,COMPLETED,0.8835522532463074,0.7155963182449341,0.5199999809265137,0.8972568511962891,0.27637147903442383
48,1,tanh,rmsprop,0.001,0.2,0.0,0038,COMPLETED,0.883495569229126,0.7123287916183472,0.5199999809265137,0.8967580795288086,0.2701207101345062
224,1,relu,adam,0.001,0.4,1e-06,0938,COMPLETED,0.88348388671875,0.7424242496490479,0.49000000953674316,0.8982543349266052,0.27695685625076294
256,1,relu,adam,0.001,0.30000000000000004,0.0,0539,COMPLETED,0.8834760189056396,0.7361111044883728,0.5299999713897705,0.9012469053268433,0.2751028835773468
208,3,tanh,rmsprop,0.0003,0.2,0.0,0975,COMPLETED,0.8834398984909058,0.74210524559021,0.4699999988079071,0.8962593674659729,0.2716662287712097
16,1,relu,adam,0.003,0.2,0.0,0042,COMPLETED,0.8834398984909058,0.734883725643158,0.5266666412353516,0.9007481336593628,0.27850088477134705
128,4,tanh,adam,0.0003,0.2,0.0,0128,COMPLETED,0.8834164142608643,0.7077625393867493,0.5166666507720947,0.8957605957984924,0.27087292075157166
32,2,tanh,rmsprop,0.001,0.1,1e-06,0774,COMPLETED,0.8833969235420227,0.7425742745399475,0.5,0.8992518782615662,0.26971450448036194
96,2,tanh,rmsprop,0.003,0.30000000000000004,1e-06,1915,COMPLETED,0.883388102054596,0.7309941649436951,0.4166666567325592,0.8897755742073059,0.2753390371799469
144,2,tanh,adam,0.001,0.30000000000000004,0.0001,1353,COMPLETED,0.8833851218223572,0.7094017267227173,0.5533333420753479,0.8992518782615662,0.2856423556804657
240,1,tanh,rmsprop,0.001,0.4,1e-06,1688,COMPLETED,0.8833754062652588,0.7115384340286255,0.4933333396911621,0.8942643404006958,0.27081507444381714
32,2,relu,adam,0.0003,0.2,1e-05,0935,COMPLETED,0.8833577632904053,0.7305936217308044,0.5333333611488342,0.9007481336593628,0.278634637594223
