units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
144,1,tanh,adam,0.0003,0.0,1e-06,194,COMPLETED,0.8837693333625793,0.7285068035125732,0.5366666913032532,0.9007481336593628,0.2746230363845825
128,4,tanh,adam,0.001,0.4,0.0001,138,COMPLETED,0.8836930394172668,0.7219731211662292,0.5366666913032532,0.8997506499290466,0.29962193965911865
80,3,relu,adam,0.001,0.30000000000000004,1e-05,178,COMPLETED,0.8836813569068909,0.7100840210914612,0.5633333325386047,0.9002493619918823,0.27540451288223267
64,2,relu,adam,0.001,0.2,0.0,065,COMPLETED,0.8836237192153931,0.717391312122345,0.550000011920929,0.9002493619918823,0.2786192297935486
32,1,tanh,adam,0.001,0.4,0.0,083,COMPLETED,0.883585512638092,0.7135922312736511,0.49000000953674316,0.8942643404006958,0.2693635821342468
32,3,relu,adam,0.001,0.2,0.0,054,COMPLETED,0.8835278749465942,0.71875,0.5366666913032532,0.8992518782615662,0.28832677006721497
112,4,relu,adam,0.0003,0.30000000000000004,0.0,107,COMPLETED,0.8834848403930664,0.6889764070510864,0.5833333134651184,0.8982543349266052,0.2724335193634033
96,1,relu,adam,0.0003,0.1,0.0001,020,COMPLETED,0.8833616971969604,0.734883725643158,0.5266666412353516,0.9007481336593628,0.2832637429237366
32,1,tanh,adam,0.001,0.2,0.0,072,COMPLETED,0.8833460807800293,0.720588207244873,0.49000000953674316,0.895261824131012,0.2713214159011841
144,3,tanh,adam,0.0003,0.2,0.0001,105,COMPLETED,0.8832971453666687,0.723809540271759,0.5066666603088379,0.8972568511962891,0.30692723393440247
48,4,relu,adam,0.001,0.4,1e-06,130,COMPLETED,0.8832287788391113,0.7051281929016113,0.550000011920929,0.8982543349266052,0.2940945625305176
64,1,tanh,adam,0.001,0.4,1e-06,033,COMPLETED,0.8831906318664551,0.7184466123580933,0.4933333396911621,0.895261824131012,0.273746132850647
