CentreName,LearnerCode,BookingType,LeadSource,DiscountType,Gender,Age,Nationality,CourseLevel,academic_stage,subject_cluster,delivery_variant,IsFirstIntake,CompletedCourse,dropout,progression_degree_level,ProgressionUniversity
UK_NE_04,7183286090,Agent,Standard Agent Booking,,Male,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,MPLAN,UK_NE_05
UK_NE_04,4931447069,Agent,Standard Agent Booking,,Female,25,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,6853051272,Direct,Digital (Web),,Male,33,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,2915117746,Agent,Standard Agent Booking,,Female,29,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,4516031241,Agent,Standard Agent Booking,,Male,26,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,5050887474,Agent,Standard Agent Booking,,Male,24,Chinese,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BSc,UK_NE_05
UK_NE_04,3467172319,Agent,Standard Agent Booking,,Male,29,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,3257765811,Agent,Standard Agent Booking,,Female,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BSc,UK_NE_05
UK_NE_04,2172177473,Agent,Standard Agent Booking,Scholarships Discount,Male,30,Chinese,Pre-Masters,Pre Masters,Engineering,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,8068235262,Agent,Standard Agent Booking,,Male,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,No,1,BA,UK_NE_05
UK_NE_04,9383471523,Agent,Standard Agent Booking,,Female,23,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,6904659282,Agent,Standard Agent Booking,,Female,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,4847029426,Agent,Standard Agent Booking,,Male,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,7660918421,Agent,Standard Agent Booking,,Male,22,Chinese,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BEng,UK_NE_05
UK_NE_04,6641579949,Agent,Standard Agent Booking,,Female,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,2075588904,Agent,Standard Agent Booking,,Male,22,Egyptian,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BEng,UK_NE_05
UK_NE_04,6468192014,Agent,Standard Agent Booking,,Male,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,1986189726,Agent,Standard Agent Booking,,Female,23,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,3863465846,Agent,Standard Agent Booking,,Female,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MA,UK_NE_05
UK_NE_04,3695813542,Agent,Standard Agent Booking,,Female,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,2197055225,Agent,Standard Agent Booking,Bursary,Female,22,East_Asia_Other,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,LLB,UK_NE_05
UK_NE_04,9289161466,Agent,Standard Agent Booking,,Female,26,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,5586019332,Agent,Standard Agent Booking,,Female,29,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,5310447853,Agent,Standard Agent Booking,,Female,26,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,9026399558,Agent,Standard Agent Booking,,Male,28,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,6868805234,Agent,Standard Agent Booking,,Female,25,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,4521709401,Agent,Standard Agent Booking,,Female,23,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,2311554340,Agent,Standard Agent Booking,,Male,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,5100984779,Agent,Standard Agent Booking,,Male,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,3060615313,Agent,Standard Agent Booking,Bursary,Female,21,Malaysian,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,9356154406,Agent,Standard Agent Booking,,Male,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,3597586710,Agent,Standard Agent Booking,,Female,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,2495352456,Agent,Standard Agent Booking,,Male,29,Taiwanese,Pre-Masters,Pre Masters,Engineering,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,5308961140,Agent,Standard Agent Booking,,Male,27,Japanese,Pre-Masters,Pre Masters,Engineering,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,9614318135,Direct,Digital (Web),,Female,22,Bangladeshi,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,LLB,UK_NE_05
UK_NE_04,6515175541,Agent,Standard Agent Booking,,Female,45,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,1152710626,Agent,Standard Agent Booking,,Female,23,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,887759448,Agent,Sponsor,,Female,22,Emirati,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BEng,UK_NE_05
