number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
1097,0.8872707722385142,2026-03-23 18:04:09.502158,2026-03-23 18:04:09.775172,0 days 00:00:00.273014,0.9923614057627884,1.9275369901021149,0.12817586369627812,8,1.0489668695062433,0.18660601491982026,0.019829303078047363,0.8935991454069766,COMPLETE
1098,0.8830723362658845,2026-03-23 18:04:09.790363,2026-03-23 18:04:10.110673,0 days 00:00:00.320310,0.9833065626285584,1.8163771228402321,0.05506198586305651,8,1.0761746085315682,0.2715661645974454,0.024025830388991712,0.8775798491999592,COMPLETE
1099,0.8851231671554252,2026-03-23 18:04:10.127423,2026-03-23 18:04:10.385129,0 days 00:00:00.257706,0.9863699671158891,1.5569204367079086,0.13643237038087855,8,1.0017998356988635,0.1149715334294881,0.01637087994682862,0.8716933185008677,COMPLETE
1100,0.874893450635386,2026-03-23 18:04:10.401420,2026-03-23 18:04:10.711417,0 days 00:00:00.309997,0.9998782278621694,4.3905651433454596,0.12018211462175993,8,1.087582743739437,0.15462749447117452,20.231438434360697,0.8816858508900026,COMPLETE
1101,0.8864213098729228,2026-03-23 18:04:10.728086,2026-03-23 18:04:10.968086,0 days 00:00:00.240000,0.9791399059090203,2.359702068408297,0.1386977305968962,8,1.3430661395660188,0.34609393079642875,0.021429654284377993,0.87287629360182,COMPLETE
1102,0.8875698924731182,2026-03-23 18:04:10.984472,2026-03-23 18:04:11.259320,0 days 00:00:00.274848,0.9910860878289948,1.4525822110749627,0.1295064956897487,8,1.1393547093976604,0.20843101980716155,0.010007500347049501,0.8884635627167515,COMPLETE
1103,0.8839247311827956,2026-03-23 18:04:11.273141,2026-03-23 18:04:11.940604,0 days 00:00:00.667463,0.9790304612343428,2.6352555778124636,0.014422156126768122,8,1.067806447824996,0.43664909197627333,0.026859751413272088,0.8677945557857488,COMPLETE
1104,0.8870899315738026,2026-03-23 18:04:11.957003,2026-03-23 18:04:12.258676,0 days 00:00:00.301673,0.9924401925299593,1.7323521938917388,0.1181739453633293,8,1.2108102993420362,0.31453546658370596,0.017999707397743394,0.8982678268085957,COMPLETE
1105,0.881208211143695,2026-03-23 18:04:12.273456,2026-03-23 18:04:12.592590,0 days 00:00:00.319134,0.9852270688102823,1.9916287554111725,0.18914207291128338,8,6.005634455381291,0.146466679604659,0.023402636940932295,0.8798737945628532,COMPLETE
1106,0.8846735092864124,2026-03-23 18:04:12.610007,2026-03-23 18:04:12.885577,0 days 00:00:00.275570,0.9756264750841668,1.8439233031023348,0.15300569078338833,8,1.1193419281299029,0.10893124850027106,5.458044410353585,0.8661100834667917,COMPLETE
1107,0.8841847507331378,2026-03-23 18:04:12.902323,2026-03-23 18:04:13.184334,0 days 00:00:00.282011,0.9930408662149344,2.789815752683172,0.12441442798893071,8,1.050129612912686,0.23070207608236046,0.027449548610438173,0.8748668724705172,COMPLETE
1108,0.8845376344086021,2026-03-23 18:04:13.197093,2026-03-23 18:04:13.468919,0 days 00:00:00.271826,0.9839587141977196,1.3664848725325744,0.14559477848876948,8,1.0006852858007267,0.5253710666237791,0.018508712624225536,0.8606146105466296,COMPLETE
1109,0.886017595307918,2026-03-23 18:04:13.483786,2026-03-23 18:04:13.745586,0 days 00:00:00.261800,0.9755182665993558,2.157184955029548,0.17457986753504057,8,1.1815857824740486,0.07461861756596995,0.02150371189585962,0.885684837779251,COMPLETE
1110,0.885533724340176,2026-03-23 18:04:13.762502,2026-03-23 18:04:14.025322,0 days 00:00:00.262820,0.9910761622882018,1.6483273025118492,0.13801777648175864,8,1.290512143927308,1.1824408834625446,0.013958965183087113,0.8717795384299832,COMPLETE
1111,0.8829227761485825,2026-03-23 18:04:14.041615,2026-03-23 18:04:14.325985,0 days 00:00:00.284370,0.8045974455038383,1.7721212977725314,0.1318914528776803,8,1.1097872462342744,0.4001458878223483,0.0278100174298977,0.8624488523071816,COMPLETE
1112,0.8866764418377322,2026-03-23 18:04:14.342062,2026-03-23 18:04:14.657509,0 days 00:00:00.315447,0.9703890977817263,1.5567978444376724,0.11588484475942598,8,1.4580927056410313,0.1464679046601738,0.016315406456772506,0.856961584812554,COMPLETE
1113,0.8853802541544478,2026-03-23 18:04:14.678550,2026-03-23 18:04:14.964100,0 days 00:00:00.285550,0.9822050072117263,1.8915485689216531,0.1593662992745205,8,1.0472894611161436,0.7644596409909246,0.012553407732868073,0.8683620724546065,COMPLETE
1114,0.8865650048875855,2026-03-23 18:04:14.981135,2026-03-23 18:04:15.304040,0 days 00:00:00.322905,0.9922680656030374,2.0153120651869796,0.12434235216611393,8,1.1674155296594597,0.24721334791099464,0.02441398684362568,0.8774953658653059,COMPLETE
1115,0.8836129032258065,2026-03-23 18:04:15.319419,2026-03-23 18:04:15.606018,0 days 00:00:00.286599,0.9785636265612637,1.6625163535933014,0.1449592171179247,8,1.2427842440326944,0.08032793632704865,0.031492132021296707,0.8918838134585221,COMPLETE
1116,0.8868269794721406,2026-03-23 18:04:15.623395,2026-03-23 18:04:15.904014,0 days 00:00:00.280619,0.9996297226262166,3.4766064108507453,0.1143258597137202,8,1.0966588336957501,0.016468013959091938,0.019746292509301606,0.8628981381874608,COMPLETE
1117,0.886950146627566,2026-03-23 18:04:15.921538,2026-03-23 18:04:16.188781,0 days 00:00:00.267243,0.9857219401972912,1.5224441239232303,0.13110472468269738,8,1.1546867251618622,0.1479733464740453,0.025359070772269107,0.8850765792304714,COMPLETE
1118,0.884743890518084,2026-03-23 18:04:16.204403,2026-03-23 18:04:16.470180,0 days 00:00:00.265777,0.9710945355159405,1.8045773101899611,0.15304183782192854,8,1.3165172521845379,0.5409027084261497,0.030483048489668416,0.8710420667026496,COMPLETE
1119,0.8831221896383187,2026-03-23 18:04:16.485320,2026-03-23 18:04:16.780146,0 days 00:00:00.294826,0.9864867240924257,1.421902602375181,0.16647047007614918,8,1.0417211596748852,0.045278530989035566,0.020795440671775862,0.8556639033117418,COMPLETE
1120,0.88641642228739,2026-03-23 18:04:16.797170,2026-03-23 18:04:17.048248,0 days 00:00:00.251078,0.9654597994193608,1.725753945393803,0.18246993439108117,8,1.2466590413609573,0.26897356270415135,0.016469864704285107,0.876373652081753,COMPLETE
1121,0.8850430107526882,2026-03-23 18:04:17.064452,2026-03-23 18:04:17.360860,0 days 00:00:00.296408,0.9777411725844216,1.9161673135313317,0.11880017511417526,8,1.0003326090929308,2.558917586098259e-06,0.023485831881427777,0.86379603957769,COMPLETE
1122,0.884177908113392,2026-03-23 18:04:17.378065,2026-03-23 18:04:17.677865,0 days 00:00:00.299800,0.991078023054469,1.6102422978775974,0.13914584371162284,7,1.083106382671183,0.09437309327819733,0.029055360978016427,0.8542566114385743,COMPLETE
